说话人,时间,内容
说话人 3,00:11:37,可以私下私信聊吧。
说话人 3,00:12:10,我经常跟一些朋友私信，虽然说聊一阵子后面没音了，后面换个朋友私信，但是确实会经常发。比如说我发现一些新的东西。卡吗？其他同学觉得卡吗？你是第一个说卡的人，我就在 Wifi 路由器旁边，应该不会卡。赶海呢？就是，我也是跟着生财群友，之前他做那个，他发起赶海的那个线下聚会，然后就一块去赶海，我也是第一次了解，就是捡贝壳，就是捡剪各种，就是涨潮了，然后退潮了，你要去看时间，你要去看，嗯，那个涨潮。
说话人 1,00:12:42,最高潮。
说话人 3,00:12:43,最低潮你要去看距离，然后甚至你要找一些中妹，就是靠运气去减薪之心战，他心之心战就像潮涨潮落，对吧？因为薪资现在它不稳定，它真的是这样，然后你会发现是草草长很高，然后退场。有好多贝壳，好多扇贝，好多好多坑可以捡，然后你偷偷都可以捡。那有时候你要挖啊？当然有可能捡的人捡，大家这是一个大的赶海滩，大家都来，人太多了，你又捡不过来，你又抢不过来。然后或者大家就是模板跟工具，就是你赶海你要有工具的，比如说你想弄螃蟹虾，他家你要有那个什么长剪子，嗯，就我只是讲这个概念，它这个本质就为什么让大家多上战，多上战，就是你要。
说话人 1,00:13:24,找趁手。
说话人 3,00:13:25,工具，你要找你用的合适的模板，你要熟悉你的流程，就是上战流程你要最比较快，然后你要把很多界面梳理，你看这几天大家教练答疑，你没发现？嗯，不能说就是服了，就是大家的问题，全是界面的问题，全是操作界面的问题，因为一方面英文也好，另一方面确实都是没有接触过的这些网站，网软件网站就是部署，就是域名网站也有很多选项，很多，然后每个人都不一样，然后最常用的club、fire，还有page，然后versal。其实主要是这两个大家都不熟，所以你要先把这个给练熟，这个就是新生鲜，就是赶海，然后老磁老战呢？嗯，老磁老战其实还这里面还没有提AI。
说话人 1,00:14:07,类的，但其实。
说话人 3,00:22:23,直接添加我，然后发，直接发微信，没有任何的那个啥，没有任何的那个通过。
说话人 1,00:22:45,的，不需要通过。
说话人 3,00:22:47,然后我本身不会写代码回款，直接用 SS 绑定招行银行私化入账。现在我想学代码，但是就 AI 类的，代码类的反正在慢慢还是 AI 慢慢写，我现在要做APP，不可能说做。 Swift 学习 Swift 代码吧？所以说主要还是考验流量。怎么搞的？流量主要做。
说话人 1,00:23:05,SU，然后 SU 会讲IMU，然后。
说话人 3,00:23:09,看回拨。嗯，不会代码能做吗？可以，现在 475 人，你们没有扣过零一的，你可以扣一下，我看一下我们讲的就是不会代码，我们这个航海手册就是不会。
说话人 1,00:23:22,代码来做的。
说话人 3,00:23:24,AI 最大红利就是 AI 不写代码，你不写代码， AI 就。
说话人 1,00:23:27,可以上线。
说话人 3,00:23:28,然后进一阶的就是用利用 AI 的功能。嗯，这个时候你最好懂代码，因为我现在也卡在我一个星期。我纹成图，网站有模板改模板，愣是你，你说上线是能上线，但是你打零一什么意思啊？你没上线一个网站你就打0，你上线了一个网站你就打一，不要打0101。
说话人 1,00:23:49,什么意思呢？然后。
说话人 3,00:23:52,我最近用 COSO 改了另一个，就是刘小白说那套壳的。我好不容易把那个那由 YouTube 开 at sense 是另一种玩法，是主要做视频的模板好套用取决于模板，你的模板简单与否，你可以先找郝涛用的改 API 接口。嗯，没有什么
说话人 3,00:31:55,work，因为跟你跟那行业守。
说话人 1,00:32:59,的真的。
说话人 3,00:33:00,很细的，没有每一个就，但是有些人就是会。
说话人 1,00:33:02,忘掉，然后。
说话人 3,00:33:05,配置里面你也要部署绑定域名的，我们的这个东西叫配置，就是域名你已经绑定完了，配置域名没有卡吧。嗯，然后主要是这里面出错了，就在这里面，我待会手册会详细的讲，我手册没有提过的，我在 PPT 上我就讲一下我提前准备的一些东西，然后我觉得有一大半就是新手。新手是什么？新手就是其实我觉得就是刚接触AI，又不懂代码，然后。
说话人 1,00:33:39,甚至说。
